Periode,Open,Volume
1,6975,1269725
2,7250,959173
3,7469.9,2583262
4,7525,1535986
5,7763.95,1165951
6,7686,639060
7,7739,1037912
8,7726,1458404
9,7828,616374
10,7775,569635
11,7819.5,679774
12,7899.95,1130024
13,7850,5000317
14,7610,2910383
15,7402.5,1370450
16,7350,2502582
17,6900,2525934
18,6823.6,1761028
19,6961.05,1467522
20,6979.9,1251249
21,7075.9,1383449
22,7100,1339821
23,7253,839856
24,7090,823208
25,7165,1183012
26,7000,1640542
27,7128.55,649166
28,7135,1244200
29,7040,1276461
30,6810,1169766
31,6800,1346820
32,7185,1054041
33,7120,903616
34,7020,762517
35,7000,816664
36,6800,1258732
37,7060,795228
38,6800,1930040
39,6800,1413281
40,6860,1580891
41,6918,1608009
42,6920,1333999
43,6688.4,1996509
44,6350,2843588
45,6128,2885783
46,6219.5,2280131
47,6794,2091561
48,6550,1264771
49,6601,1266846
50,6677.2,1479270
51,6780,1633596
52,6947.7,1670678
53,7000,962019
54,6870,1273796
55,7050,1176750
56,6969,783716
57,7059,702373
58,6990,936973
59,7040,715950
60,7100,1272254
61,7287.95,1633011
62,7229.95,871513
63,7449,1049759
64,7435,1072082
65,7350,767031
66,7310,718266
67,7328.3,881973
68,7345.05,597508
69,7299.95,805598
70,7313,672317
71,7265.5,758222
72,7300,1191110
73,7274.95,1558181
74,7099,875343
75,7080,807987
76,7000,684953
77,7131,1012419
78,7100,3984357
79,6748,2499094
80,6800,1337517
81,6550,1238741
82,6629.9,1649115
83,6400,1486028
84,6201,3064865
85,5961,1935648
86,6000,1177933
87,5957,1861339
88,5750,2494044
89,5700,2105315
90,5575,1414955
91,5660,1401770
92,5889.95,1655094
93,5651,1065025
94,5840,1098610
95,5825,968021
96,5783,1084069
97,5839,867598
98,5850,1259546
99,5900,1625805
100,6088,817484
101,6110,1548966
102,6060,887620
103,6007,750809
104,6125,1043465
105,6008.2,737657
106,5980,896982
107,5900,1334146
108,5905,1237674
109,5825,2151891
110,5525.05,1932785
111,5347,1884541
112,5418,1659943
113,5565,2179686
114,5220,1937939
115,5428,1119456
116,5525,1002359
117,5531.5,898346
118,5445.6,1101857
119,5510,1304933
120,5700,1049008
121,5607,739500
122,5485,755982
123,5512.8,1198275
124,5364,1221890
125,5612.9,789818
126,5660,1228453
127,5680,2222952
128,5935,1335247
129,5928,803282
130,5850,761337
131,5849.8,975446
132,5929.95,886934
133,5925,692920
134,5855,569859
135,5969.9,966432
136,6040,978560
137,6149,827092
138,6079,1325493
139,6271,953295
140,6240,724023
141,6300,1530406
142,6279,1444989
143,6522,6485782
144,7175,2606762
145,7251.05,1227077
146,7201.45,1249124
147,7326,1218621
148,7338.95,949481
149,7339.95,758078
150,7300,957482
151,7369,1906523
152,7244,1027051
153,7302,1036941
154,7339,804464
155,7300,2344414
156,7490,835354
157,7510,1100427
158,7261,1060862
159,7085,1088603
160,7165,953096
161,7212.8,1354296
162,7120,759139
163,6881,996735
164,7000,1731381
165,7228.6,1462579
166,7217.1,906370
167,7190.7,707025
168,7228.75,791905
169,7078,791994
170,7220,772251
171,7300,649607
172,7216.85,834716
173,7330,1382700
174,7272.15,1493388
175,7489.95,717420
176,7385,1187036
177,7275,1648117
178,7569.95,1613450
179,7640,1239262
180,7670,1281039
181,7714.8,1412331
182,7437,1875205
183,7325,1142829
184,7179,869069
185,7312.5,969632
186,7081,1618665
187,7337,820198
188,7335,1191495
189,7550,1510060
190,7385.45,991196
191,7265,653113
192,7307,732206
193,7205,740731
194,7220.5,608655
195,7300,839012
196,7254.95,617401
197,7400,906975
198,7417,627177
199,7369.95,1026054
200,7490,2386960
