Periode,Suhu
1,27.42
2,28.24
3,28.41
4,28.64
5,28.71
6,28.05
7,27.64
8,27.71
9,28.17
10,27.99
11,27.98
12,27.03
13,26.65
14,26.9
15,27.11
16,27.73
17,27.87
18,27.69
19,27.1
20,27.07
21,28
22,28.53
23,28.53
24,28.27
25,27.4
26,27.73
27,27.57
28,27.91
29,28.29
30,27.6
31,27.05
32,27.72
33,28.9
34,29.08
35,28.81
36,28.09
37,26.98
38,27.51
39,28.23
40,28.23
41,28.23
42,27.99
43,27.47
44,27.33
45,27.97
46,28.56
47,28.29
48,27.71
49,26.65
50,26.46
51,27.53
52,28.08
53,28.55
54,28.25
55,27.81
56,27.44
57,27.57
58,28.55
59,28.87
60,27.94
61,27.06
62,26.97
63,27.54
64,28.16
65,27.93
66,27.6
67,27.19
68,27.32
69,28.47
70,29.53
71,29.62
72,28.62
73,28.69
74,28
75,28.54
76,28.73
77,28.79
78,28.37
79,28.08
80,28.15
81,28.33
82,27.91
83,28.2
84,27.69
85,27.4
86,27.12
87,27.76
88,28.05
89,28.3
90,27.77
91,27.54
92,27.39
93,28.15
94,28.78
95,28.77
96,27.69
97,27.45
98,27.08
99,27.93
100,28.33
101,28.21
102,27.94
103,27.03
104,27.37
105,28.44
106,29.57
107,28.81
108,28.38
109,27.79
110,28.24
111,28.23
112,28.66
113,28.45
114,27.8
115,27.02
116,27.06
117,28.4
118,29.77
119,29.69
120,29.01
121,28.06
122,27.8
123,28.21
124,28.56
125,28.61
126,28.14
127,27.65
128,27.75
129,28.24
130,28.44
131,28.56
132,27.58
133,27.13
134,26.98
135,27.67
136,27.97
137,28.37
138,28.11
139,27.58
140,27.83
141,28.17
142,28.85
143,28.38
144,27.9
